Sequence (User can ignore),360VOS ID,Target,Split,Muptiple,360VOT ID,IV(illumination variation),BC(background clutter),DEF(deformable target),MB(motion blur),CM(camera motion),ROT(rotation),POC(partial occlusion),FOC(full occlusion),ARC(aspect ratio change),SV(scale variation),FM(fast motion),LR(low resolution),HR(high resolution),SA(stitching artifact),CB(cross border),FMS(fast motion on the sphere),LFoV(large FoV),LV(latitude variant),HL(high latitude),LD(large distortion
ny62zkZwszU_0-26_1-00,027,F1 car,test,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1
H6SsB3JYqQg_6-36_7-14,028,fly,test,,,1,,,,1,1,,,1,1,1,1,1,,1,1,1,1,1,1
jO-OdCe3NQw_2-23_3-20,029,fly,test,,,,,,,1,,1,,1,,1,,,,1,1,,,,
v36mjiEoIC8_1-42_end,030,fly,test,,,,,,,1,,1,,1,1,,,,,,1,,,,
Ygxis1qCs30_0-37_01-50,031,fly,test,,,,,1,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1
W2yY4-Kk324_3-55_5-00,032,fountain,test,,,1,1,,,1,,1,1,1,1,1,1,1,,1,1,1,,,1
BOSkTPq8BV8_0-10_03-56,033,helicopter,test,,,1,1,,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1
kQuT-zcoDpA,034,helicopter,test,,,1,1,,,1,,,,,1,,,,,,,,,,
WPtpS2wf-0Y_8-46_9-48,035,helicopter,test,,,,1,,,,,1,,,1,,,,,,,,,,
5fd7GN8QKb0_0-53_1-30,036,horse,test,,,,1,1,,,1,1,,1,1,,1,,,,,,,,
9DgfAh3nGfg_6-00_8-00,037,kart,test,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,,,1
bP3gouhTMow_0-40_1-30,038,kart,test,,,1,,,,1,1,1,1,,1,1,1,,,1,1,,,,
hTMM7Pm3WZ8_2-30_4-55,039,kart,test,,,,,,,1,1,1,,,1,,,,,,,,,,
JQjvlEWPdnc_0-10_2-25,040,kart,test,,,,1,1,,1,1,1,,,1,,,,1,,,,,,
MgPjm4qqfG0_0-15_2-50,041,kart,test,,,,1,,,1,1,1,,1,1,1,,1,,1,1,1,,,1
MhswXU5sQPQ_1-19_2-30,042,kart,test,,,1,1,,,1,1,1,,,1,1,,,,1,1,,,,
Si_MFXwciLc_1-00_2-00,043,F1 car,test,,,1,1,,1,1,1,1,1,1,1,,1,,,,1,1,,,1
YfUIX7rc_Po_1-00_3-00,044,kart,test,,,1,1,,,1,1,,,,1,1,1,,,1,1,,,,
me7utuNHYzc_2-50_4-05,045,kid,test,,,,,1,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1
YDSqJNsVoNg_3-25_4-05,046,kid,test,,,,,1,,1,1,,,,1,,,1,1,,,1,,,1
aewJr-tt5kQ_5-12_6-45,047,kitty,test,,,,,1,,,1,1,,1,1,,1,,,,1,,,,
AJ_4mOV8gA0_0-50_3-30,048,kitty,test,,,1,,1,,,1,,,1,1,,,,,1,,,1,1,
hdLQBUAHNIA_1-20_2-22,049,kitty,test,,,,,1,1,,1,1,,1,1,1,,1,1,1,1,,1,1,1
XrPX5n88anc_0-45_2-05,050,kitty,test,,,,1,1,1,,1,,,1,1,1,,,,1,1,,,,
XrPX5n88anc_3-45_5-35,051,kitty,test,,,,1,1,1,,1,1,,1,1,,1,1,1,,1,1,,,1
XU8Gb5wjQGE_3-00_6-40,052,kitty,test,,,1,,1,1,,1,1,1,1,1,,1,,,1,1,,1,1,1
Imi0s7_yecg_0-00_2-40,053,panda,test,,,1,1,1,,,1,1,,1,1,1,,,,1,1,,1,1,1
XtTfwyvwOx0_1-48_2-50,054,panda,test,,,,1,1,,,1,,,1,1,,,,,,1,,,,
2qA9n5QOj74_0-00_03-00,055,hiker,test,,,,,1,,1,,1,,1,1,1,,1,,1,1,,1,1,1
C8Ty0nSAkdo_0-10_3-53,056,hiker,test,,,,,1,,1,1,1,1,1,1,,1,,,,1,,1,1,1
IhehCP6wzVQ_1-45_2-44,057,pedestrian,test,,,,1,1,,1,,1,1,1,1,,1,,,,1,,1,,
IhehCP6wzVQ_3-20_4-02,058,pedestrian,test,,,,1,1,,1,,1,,1,1,,,1,,,,,,,1
iRk0kWTkwdM_0-15_3-46,059,hiker,test,,,,,1,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1
ms0FYivXyBQ_0-11_1-30,060,pedestrian,test,,,1,1,1,,1,1,1,1,1,1,,1,,,,1,,,,
OgQtDFRWai8_0-14_7-02,061,pedestrian,test,,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1
wa699S2TVZI_0-00_1-22,062,hiker,test,,,,,1,,1,1,,,1,1,1,,,,1,1,,1,1,
_tEd4MkvQlY_0-09_end,063,people/bike,test,,,1,,1,,1,1,1,1,1,1,1,1,,1,,1,,1,,
_zHxrILyAxU_0-51_1-10,064,people/bike,test,,,,,1,,,1,1,1,1,1,1,1,1,,1,1,,,,1
5f723FmqOFY_1-30_2-20,065,people/bike,test,1,,,1,1,,1,1,1,1,1,1,1,1,,,1,1,,,,
Fh0KQQx6z6I_0-35_2-50,066,people/bike,test,,,1,,1,,1,,,,1,1,1,,,1,,1,,,,
ifLYo_mVAHc_0-12_0-34,067,people/bike,test,,,,,1,1,,1,1,1,1,1,1,1,,,1,1,,,,1
M1zgNb08Y-g_0-26_end,068,people/bike,test,,,,,1,,1,1,1,1,1,1,,1,,,,1,,,,1
pctdEfoOwds_01-13_01-38,069,people/bike,test,,,,,1,,1,1,,,1,1,1,1,,1,1,1,,,,1
PSIiGTSfx1w_0-55_2-35,070,people/bike,test,,,1,,1,,1,1,,,1,1,1,,,,1,1,,,,
RRHSPlGlUUo_start_2-00,071,people/bike,test,,,,1,1,1,,1,,1,1,1,1,1,,1,1,1,,,,
ulwzg7mIKuA_9-25_10-35,072,people/bike,test,,,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,,1
VPzGd_sv_bE_0-30_1-20,073,people/bike,test,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,1
Z12fSRgwnJE_0-10_0-33,074,people/bike,test,,,,1,1,,,1,,,1,1,1,,,1,1,1,,,,1
z2IqQfNzn8s_0-07_2-10,075,people/bike,test,,,,,1,,1,1,,,1,1,,,1,1,,,,,,1
2NnqO9W-NWQ_0-32_0-49,076,people/boat,test,1,,,,1,,1,1,,,,1,,,,1,,,,,,
2NnqO9W-NWQ_1-55_2-25,077,people/boat,test,,,,1,,,1,1,1,1,,1,,1,1,1,,1,1,,,1
51WDVPwsM-A_0-15_1-00,078,people/boat,test,1,,,,1,,1,,1,,,1,,,,,,,,,,
E3NuHHVqD_s_start_00-48,079,people/boat,test,,,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
X0JTRu1PRX8_0-53_2-18,080,people/boat,test,,009,,1,1,1,,,1,1,1,1,1,1,,,,1,,,,
X0JTRu1PRX8_0-55_2-05,081,people/boat,test,,010,,1,1,1,,,1,1,1,1,1,1,1,,,1,1,,,1
_-bziPtKfHE_0-00_1-05,082,people/horse,test,,,,,1,,1,1,1,1,1,1,,1,,,1,,,,,
4-KhYVO8Ryg_1-00_2-30,083,people/horse,test,,,,,1,,1,1,1,1,1,1,,1,1,,,,,,,
bufQ5nss1II_0-30_1-40,084,people/horse,test,,,,,1,,1,,1,1,1,1,,1,1,,,1,1,,,1
bufQ5nss1II_0-30_1-45,085,people/horse,test,,,,,1,,1,1,1,,1,1,,1,1,,1,1,1,1,,1
hQhtmQPhiVk_0-20_1-10,088,people/horse,test,,,,1,1,,1,1,,,1,1,,,1,,,,1,,,1
l7iyhRTfp5s_0-00_1-08,086,people/horse,test,,,1,1,1,,1,1,,,1,1,,,1,,,,1,,,1
LByE6QYa7I4_0-00_1-20,087,people/horse,test,,,,,1,,1,1,1,,1,1,1,,,,1,1,,,,
YPW059LEW2Q_0-00_1-28,089,people/horse,test,,,1,1,1,,1,1,,,1,1,1,,1,,1,1,1,,,1
iSz9c_lopWI_0-48_1-52,090,people/moto,test,,,1,,1,,1,1,1,1,1,1,1,1,,,1,1,,1,,1
iSz9c_lopWI_1-59_2-33,091,people/moto,test,,,1,,1,,1,1,1,1,1,1,,1,1,,,1,,1,,1
OiRc7EjXQ8s_4-40_6-00,092,people/moto,test,,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,,1,,1
u4ErsXjKrxE_0-09_2-40,093,people/moto,test,,,1,,,,1,1,1,1,1,1,1,1,1,,1,1,,1,,1
jVQss3BeYdM_0-00_4-00,094,ping-pong player,test,,,,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,,1
6XTfC7XhhOg_0-28_1-56,095,rabbit,test,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
C69GJ5Cyr7E_0-00_1-10,096,rabbit,test,,,1,1,1,,,1,,,1,1,1,1,1,1,1,1,1,,,1
iwefPm-JwhY_0-16_0-53,097,rabbit,test,,,,1,1,1,,1,1,,1,1,,,1,,1,1,1,1,1,1
iwefPm-JwhY_2-39_4-16,098,rabbit,test,,,1,1,1,1,,1,1,,1,1,,,1,,1,1,,1,1,1
Y9h6AKgBdk8_0-00_1-45,099,rabbit,test,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1
KaqsQeAKRKc_0-00_0-28,100,RC car,test,,,1,,,1,1,1,,,1,1,,,,,,,,,,
-TzbqEfA7Gc_0-20_2-50,101,rhinoceros,test,,,,1,1,,,1,1,,1,1,,1,1,1,,,1,,,1
ILOiq7gNnBo_0-12_1-41,102,rhinoceros,test,,,,1,1,,,1,1,1,1,1,,1,1,,,1,1,,,1
QYG7McT-we0_0-35_2-59,103,rhinoceros,test,,,,1,1,,,1,1,1,1,1,1,1,,,1,1,,1,,1
zoJcchcI_Jk_0-23_2-10,104,rhinoceros,test,,,,1,1,,,,,,1,1,1,,1,,1,1,,,,
CaVfsckkrjk_1-30_1-46,105,skateboarder,test,,,1,,1,1,1,1,1,,1,1,,,1,,,,1,,,1
O3VNDvx1YOE_6-33_8-18,106,skateboarder,test,,,1,,1,,,1,1,1,1,1,1,1,,,1,1,1,,,1
suAFoIOeNys_0-12_1-21,107,skateboarder,test,,,1,,1,1,,1,,1,1,1,,1,,,,1,,1,,1
WHsORKVyJys_7-18_10-27,108,skateboarder,test,,,1,,1,,1,1,,,1,1,,,,,,,,,,
MEr_i9O81pY_4-50_7-20,109,skiing,test,,,,,1,,1,1,1,1,1,1,1,1,,,1,1,,1,,
pt3IWzZBXQc_start_3-20,110,skiing,test,,,,,1,,1,1,1,1,1,1,1,1,,,1,1,,1,,
Ct3_q1POeVw_0-30_1-10,111,skydiver,test,,,,,1,,1,1,1,,1,1,1,,,1,,1,,,,
Ct3_q1POeVw_1-02_1-30,112,skydiver,test,,,,,1,,1,1,,,,1,,,,1,,,1,1,,
o6fjhstdn6M_2-32_2-56,113,skydiver,test,,,1,,1,,1,1,,,1,1,1,1,1,,,1,,1,1,1
VUMu8EQ1Ang_00-01_01-03,114,squirrel,test,,,,1,1,1,,1,1,,1,1,,,,,,,,,,
mymJJtH0X3w_0-06_0-34,115,tiger,test,,,,1,1,,,1,1,,1,1,,,,,,,,,,
q3gK60QeKTE_0-39_2-15,116,tiger,test,,,,,1,,,1,1,,1,1,,,,,,,,,,
MSYnU99Ubzc_2-28_3-08,117,train,test,,,1,1,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1
H1iR7BeRa5U,118,wing outfit,test,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
I-Y14gm8C6o_0-22_1-42,119,wing outfit,test,,,,,1,,1,1,1,1,1,1,1,1,,,1,1,,1,1,1
_vXUwAFYEbU_2-07_2-55,120,wolf,test,,,,,1,,,1,,,1,1,,1,1,1,,1,1,,,1
CR-P3ZCXK3g_0-00_2-58,001,ball,test-challange,,,,,,1,,1,1,1,1,1,1,1,,1,1,1,,,,
ZcLzhfHv-uM_0-35_end,002,basket,test-challange,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1
3XO8Mp3FE64_1-29_2-59,003,boat,test-challange,,,,1,,,1,1,1,1,1,1,,1,,,,1,,,,
akrmCqnB19U_0-08_0-51,004,boat,test-challange,,,1,1,,,1,1,,,1,1,,,,,,,,,,
JC-_n1wvCsM_0-00_3-01,005,boxing,test-challange,,,,,1,1,,1,1,1,1,1,,1,,,,1,,,,
4VoCLf-YXFY_0-00_2-33,006,breeder,test-challange,,,,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,,1
iTMJxOMvAI8_0-56_1-31,007,building,test-challange,,,,1,,1,1,1,1,,1,1,1,,1,,1,1,,1,1,1
3fmCc36hcgc_0-30_1-06,008,car,test-challange,,,1,,,,1,1,1,,1,1,1,,1,1,,1,,,,1
7wmpZUVK4V0_2-10_4-10,009,car,test-challange,,,,,,,1,1,,,1,1,,,1,,,,,,,1
A-U7tGXVuBc_0-05_2-55,010,car,test-challange,,,1,,,,1,1,1,,1,1,1,1,,,1,1,,,,
tTnnNo3fW0U_0-50_3-45,011,car,test-challange,,,1,1,,,1,1,1,1,1,1,1,1,,,1,1,,,,1
tzbcA8HCN1c_3-31_4-13,012,car,test-challange,,,,,,,1,1,1,1,1,1,,1,,1,1,1,,,,
JpAdLz3iDPE_0-39_7-30,013,chef,test-challange,,,,,1,,,1,1,1,1,1,1,1,,,1,1,,,,
IjBf2eulbRI_1-04_3-50,014,dog,test-challange,,,,,1,1,,1,1,,1,1,1,,1,,1,1,,,,1
TayWLyML_iQ_0-07_0-35,015,dog,test-challange,,,,,1,1,,1,1,1,1,1,1,1,,,1,1,,,,
if2XUN92eFg_01-00_03-00,016,drone,test-challange,,,,,,1,,1,1,1,1,1,1,1,,,1,1,,1,1,1
5N_EAkdAQiE_1-20_2-01,017,elephant,test-challange,,,,1,1,,,1,,,1,1,1,,1,1,1,1,1,1,,1
Ga0TrwxqoPY_0-00_0-30,018,elephant,test-challange,,,,,1,,,1,1,,,1,,,,,,,,,,
rrNB93hOEqw_0-00_1-08,019,elephant,test-challange,,,1,1,1,,,1,1,,1,1,,,1,,,,1,,,
ADOLtyLeS-4_start_1-23,020,F1 car,test-challange,,,1,,,1,1,1,1,,,1,1,1,,,,1,,,,
ny62zkZwszU_2-00_2-57,021,F1 car,test-challange,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1
EMqWtrXCBzs_0-42_1-35,022,fish,test-challange,,,,,1,,1,1,1,,1,1,1,,1,,1,1,1,,,1
wgh6FgmO_gw_20-08_22-30,023,fly,test-challange,,,,1,,,1,1,,,,1,,,,,,1,,,,
LubKrfSn9sk_0-30_0-55,024,fox,test-challange,,,,1,1,,,1,,,1,1,1,,,,1,1,,,,
tXDCAut97Ro_1-28_1-52,025,giraffe,test-challange,,,,1,1,,1,1,,,1,1,,,,,,,,,,
aZz1nx_Fpac_2-00_7-05,026,helicopter,test-challange,,,,,,,1,1,1,1,1,1,1,1,,,,1,,1,1,1
RBF7_BKrNQI_2-50_end,027,helmet,test-challange,,,1,1,1,,1,1,,,1,1,1,,1,,1,1,,1,1,1
rPk5u9KKxL0_0-00_2-10,028,horse,test-challange,,,1,,1,,1,,,,,1,1,,,,1,1,1,,,1
pQimrziS_F0_0-09_2-35,029,kart,test-challange,,,,,,,1,1,1,,,1,1,1,,,1,1,,,,1
T_kN-Au2gcg_0-27_2-00,030,kart,test-challange,,,1,,,1,1,1,1,,1,1,1,,1,,1,1,,,,1
GpgXcPTgrgw_5-00_9-15,031,kitty,test-challange,,,,,1,1,,1,1,,1,1,1,,1,1,1,1,1,,,1
3ooZWLeulrA_2-41_3-02,032,lego,test-challange,,,,,,,1,1,1,,,1,1,1,,,1,1,,,,
ChU7vDPcLDk_0-04_13-20,033,pedestrian,test-challange,,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1
O3VNDvx1YOE_0-35_1-20,034,pedestrian,test-challange,,,,,1,,,1,1,1,1,1,,1,1,,,1,,1,,1
_2Hwl-FJYVg,035,people/bike,test-challange,,,1,,1,,,1,,,1,1,1,,,1,1,1,,,,
jU-pZSsYhDk_00-17_1-51,036,people/bike,test-challange,,,1,1,1,,,1,1,1,1,1,1,1,,,1,1,,,,1
pctdEfoOwds_00-01_01-06,037,people/bike,test-challange,,,1,1,1,,1,1,,,1,1,1,,,,1,1,,,,
pctdEfoOwds_00-01_01-08,038,people/bike,test-challange,,,,,1,,1,1,1,,1,1,1,1,,,1,1,,,,
PZwWP_oqB68_0-40_1-50,039,people/bike,test-challange,,,,1,1,1,,1,,,1,1,1,,1,1,1,1,1,,,1
WUErDZr4Vko_0-20_01-12,040,people/bike,test-challange,,,,1,1,,,1,,,1,1,,,1,1,1,1,1,1,1,1
fkaJP5_giRM,041,people/boat,test-challange,,,,,,,1,1,1,1,1,1,1,1,,,1,1,,,,
fkaJP5_giRM_0-20_01-42,042,people/boat,test-challange,,,,1,,,1,1,,1,1,1,,1,,,,1,,,,
4-KhYVO8Ryg_0-50_2-30,043,people/horse,test-challange,1,,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
928KITzIwn0_0-00_0-56,044,people/horse,test-challange,,,,,1,,1,1,1,1,1,1,1,1,,,,1,,,,
R10vdfZrXbk_00-13_01-33,045,people/horse,test-challange,,,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,,,,1
wx-EKo1m3bc_00-00_00-59,046,people/horse,test-challange,,,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,,1
fGuS_WHKC7g_0-32_1-22,047,people/moto,test-challange,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,1
iSz9c_lopWI_1-11_3-02,048,people/moto,test-challange,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1
kClwRpbzg7Q_1-28_1-48,049,people/moto,test-challange,,,1,,,,1,1,,1,1,1,1,1,,,,1,,1,1,
pBfXR72szoc_02-25_03-47,050,people/moto,test-challange,,,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,,1
GJwD9xyq6bg_1-40_2-54,051,rabbit,test-challange,,,,,1,,,1,1,,1,1,1,,1,1,1,1,,1,,1
WIKtYyF75a8,052,RC car,test-challange,,,,,,1,,1,1,,1,1,1,,1,,1,1,1,,,1
sKsgSz3onQs_0-34_2-10,053,RC car player,test-challange,,,,,,1,1,,,1,1,1,1,1,,1,1,1,,1,,1
4yR-vnmHUOk_0-11_1-51,054,rollerblader,test-challange,,,,,1,,,1,1,1,1,1,1,1,,,1,1,,,,
RhaxUe5znpc,055,singer,test-challange,,,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,,1
pFQ9Oj77AqU_1-07_1-31,056,skiing,test-challange,,,,,1,,1,1,,,1,1,,,1,,,,1,,,1
GdP1NnbtkAc_0-00_0-19,057,tiger,test-challange,,,,1,1,,1,1,1,,1,1,1,,,,1,1,,,,
I-Y14gm8C6o_0-22_1-40,058,wing outfit,test-challange,,,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
lgHMYJO13IU_0-14_1-30,059,wing outfit,test-challange,,,1,,1,,1,1,1,,1,1,1,1,1,,,1,,1,1,1
_vXUwAFYEbU_0-28_1-35,060,wolf,test-challange,,,,,1,,,1,,,1,1,,1,1,1,,,1,1,,1
_oHoVUQX--A,001,basket,train,,,1,,,,1,,1,1,1,1,1,1,,,1,1,,,,
IIlQ6UuUp_w_0-10_0-35,002,basket,train,,001,,,,,,,1,,1,1,1,1,1,,1,,,1,,1
OLXIgL3ETGo_2-02_3-16,003,bird,train,,003,,1,1,,,1,1,,1,1,,,1,1,1,,1,1,,1
pB8Ew3MgGW8_0-08_1-17,004,bird,train,,004,,1,1,1,,,1,,1,1,,,1,,1,,,1,1,1
3XO8Mp3FE64_0-05_2-00,005,boat,train,,,,1,,,1,1,1,1,1,1,1,1,,,1,1,,,,
3XO8Mp3FE64_0-06_1-39,006,boat,train,,,,1,,1,,,1,1,1,1,1,1,,1,1,1,,,,
9WbpbE9Bhc4_0-14_1-20,007,boat,train,,,,1,,1,,,1,1,1,1,1,1,,1,,1,,,,
akgvHPe04k8_9-28_9-53,008,boat,train,,,,1,,,1,,,,1,1,1,1,,,1,1,,1,1,1
D-YmLqeWNK0_0-26_1-10,009,boat,train,,,1,1,,1,1,1,,,1,1,1,1,,,1,1,,1,1,1
dIPE9g4Rndw_1-30_03-40,010,boat,train,,,1,,,,1,1,1,,1,1,,,1,,1,,1,,,1
kdDvAZDkHAY_0-15_2-45,011,boat,train,,,,,,1,1,,1,1,1,1,1,1,1,,,1,1,1,,
LKMXh8F93kk_4-10_6-16,012,boat,train,,006,,,,,1,1,,,1,1,1,1,,,1,1,,,,1
yPE4WRb3Cyk_2-05_3-56,013,boat,train,,007,1,1,,,1,1,1,1,1,1,1,1,,,1,1,,,,
yPE4WRb3Cyk_3-09_3-42,014,boat,train,,008,,1,,,1,1,1,1,1,1,1,1,,,1,1,,,,
LSiD75cqIsc_17-28_28-50,015,boxing,train,,,,,1,1,,1,1,1,1,1,1,1,,,,1,,,,
PGqPb33b2vY_1-40_3-14,016,brand,train,,,,,,,1,1,1,1,1,1,1,1,,,1,1,,1,1,1
-6viH6dTaNU_0-40_1-30,017,building,train,,014,1,,,1,,,1,1,1,1,1,1,,,1,1,,,,
bC_Pa-7Nitc_5-43_6-18,018,building,train,,,,,,,1,1,1,,1,1,1,1,,,1,1,,,,
CjN8U3EovJo_6-17_7-15,019,building,train,,015,,,,1,,,1,1,1,1,1,1,1,,1,1,,1,1,1
Ctm4-Xoc204,020,building,train,,016,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1
-6viH6dTaNU_5-03_5-58,021,bus,train,,018,,,,,1,,1,1,1,1,1,1,,,1,1,,,,
2Lq86MKesG4_1-00_3-20,022,bus,train,,,,1,,,,,1,,1,1,,,1,,1,,1,,,1
3f0AfnedE1w_0-10_2-00,023,car,train,,019,1,,,,1,1,,,1,1,1,1,,,1,1,,,,
3fmCc36hcgc_2-30_3-30,024,car,train,,,,1,,1,,,1,1,1,1,1,1,,,1,1,,,,
aczRGIysZGQ_17-45_19-30,025,van,train,,,1,,,,1,1,1,1,1,1,,1,,,,1,,,,
HMWNrI99WOk_1-35_2-20,026,car,train,,,1,1,,,1,1,1,,1,1,1,1,,,1,1,,,,1
iGqkyhpRO0M_0-10_3-35,027,car,train,,,1,1,,,1,1,,,,1,1,1,,,1,1,,,,
mb6U8b2pSOI_0-50_1-26,028,car,train,,,,1,,1,,,,1,1,1,1,1,,,,1,,,,
QjapzekgQew,029,car,train,,,,,,1,1,,1,,1,1,1,,1,,1,,1,1,1,1
RlT1S9oLus8_0-32_0-48,030,car,train,,,,,,,1,1,,,1,1,,,,,,,,,,
SZInWrKOUrQ_2-35_3-25,031,car,train,,,1,,,1,1,1,1,,1,1,,,,,,1,,,,
TuBKDk1ouQU_00-40_01-50,032,RC car,train,,026,,1,,,1,1,1,,1,1,,1,1,,,1,,,,1
VGY4ksezNkY_2-10_3-14,033,car,train,,027,,,,,1,1,1,,1,1,,1,,,,1,,1,,1
_J7qXbbXY80_0-08_2-00,034,cloud,train,,029,,1,,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1
Disney,035,cup,train,,030,,,,,,1,1,1,1,1,1,1,,,1,1,,,,
tG6Vo_54LNc_9-00_10-04,036,dancer,train,,031,,1,1,1,,1,,,1,1,,,1,,1,,,,,
XxUBy1ZCz5o_0-15_2-46,037,dancer,train,,032,,,1,1,,1,,1,1,1,,1,1,,1,,1,,,1
Z7mK3sd6dPg_1-48_3-30,038,dancer,train,,033,,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,,1
cx14KBTsNTs_0-10_1-22,039,diver,train,,034,,,1,,,1,,,1,1,,,1,,,,1,1,,
qjTVROAU_Zk_0-00_1-00,040,diver,train,,035,1,,1,,,1,,,1,1,,,1,1,1,,1,1,1,1
2ZjjkCiHhyQ_10-08_11-56,041,dog,train,,036,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,1
2ZjjkCiHhyQ_11-26_13-17,042,dog,train,,037,,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,,
